Number,Name,URL,Type,Classification,Height_m,Weight_kg,Capture_rate,HP,Attack,Defense,Sp. attack,Sp. defense,Speed
001,Bulbasaur,https://www.serebii.net/pokedex-swsh/bulbasaur/,"['grass', 'poison']",Seed Pokémon,0.7,6.9,45,45,49,49,65,65,45
002,Ivysaur,https://www.serebii.net/pokedex-swsh/ivysaur/,"['grass', 'poison']",Seed Pokémon,1.0,13.0,45,60,62,63,80,80,60
003,Venusaur,https://www.serebii.net/pokedex-swsh/venusaur/,"['grass', 'poison']",Seed Pokémon,2.0,100.0,45,80,82,83,100,100,80
004,Charmander,https://www.serebii.net/pokedex-swsh/charmander/,['fire'],Lizard Pokémon,0.6,8.5,45,39,52,43,60,50,65
005,Charmeleon,https://www.serebii.net/pokedex-swsh/charmeleon/,['fire'],Flame Pokémon,1.1,19.0,45,58,64,58,80,65,80
006,Charizard,https://www.serebii.net/pokedex-swsh/charizard/,"['fire', 'flying']",Flame Pokémon,1.7,90.5,45,78,84,78,109,85,100
007,Squirtle,https://www.serebii.net/pokedex-swsh/squirtle/,['water'],Tiny Turtle Pokémon,0.5,9.0,45,44,48,65,50,64,43
008,Wartortle,https://www.serebii.net/pokedex-swsh/wartortle/,['water'],Turtle Pokémon,1.0,22.5,45,59,63,80,65,80,58
009,Blastoise,https://www.serebii.net/pokedex-swsh/blastoise/,['water'],Shellfish Pokémon,1.6,85.5,45,79,83,100,85,105,78
010,Caterpie,https://www.serebii.net/pokedex-swsh/caterpie/,['bug'],Worm Pokémon,0.3,2.9,255,45,30,35,20,20,45
011,Metapod,https://www.serebii.net/pokedex-swsh/metapod/,['bug'],Cocoon Pokémon,0.7,9.9,120,50,20,55,25,25,30
012,Butterfree,https://www.serebii.net/pokedex-swsh/butterfree/,"['bug', 'flying']",Butterfly Pokémon,1.1,32.0,45,60,45,50,90,80,70
013,Weedle,https://www.serebii.net/pokedex-swsh/weedle/,"['bug', 'poison']",Hairy Bug Pokémon,0.3,3.2,255,40,35,30,20,20,50
014,Kakuna,https://www.serebii.net/pokedex-swsh/kakuna/,"['bug', 'poison']",Cocoon Pokémon,0.6,10,120,45,25,50,25,25,35
015,Beedrill,https://www.serebii.net/pokedex-swsh/beedrill/,"['bug', 'poison']",Poison Bee Pokémon,1,29.5,45,65,90,40,45,80,75
016,Pidgey,https://www.serebii.net/pokedex-swsh/pidgey/,"['normal', 'flying']",Tiny Bird Pokémon,0.3,1.8,255,40,45,40,35,35,56
017,Pidgeotto,https://www.serebii.net/pokedex-swsh/pidgeotto/,"['normal', 'flying']",Bird Pokémon,1.1,30,120,63,60,55,50,50,71
